# List of animal species latin names, obtained from the Open Tree of Life project (OTL tip names, version 13.4, accessed October 27, 2021)
Pericharax peziza
Pericharax orientalis
Pericharax crypta
Pericharax vallii
Pericharax imberbis
Leucetta microraphis
Leucetta primigenia
Leucetta potiguar
Leucetta floridana
Leucetta villosa
Leucetta chagosensis
Leucaltis nuda
Leucetta antarctica
Leucetta pyriformis
Leucettusa dictyogaster
Leucettusa simplicissima
Leucettusa mariae
Leucettusa lancifer
Leucettusa corticata
Leucettusa tubulosa
Leucettusa vera
Leucettusa sambucus
Leucettusa pyriformis
Leucettusa imperfecta
Leucettusa haeckeliana
Leucettusa clathria
Leucettusa lancifera
Ernstia adusta
Ernstia tetractina
Ernstia septentrionalis
Ernstia cordata
Ernstia minoricensis
Ernstia quadriradiata
Ernstia laxa
Ernstia sagamiana
Ernstia indonesiae
Ernstia naturalis
Ernstia klautauae
Ernstia chrysops
Ernstia adunca
Ernstia arabica
Ernstia citrea
Ernstia rocasensis
Ernstia multispiculata
Ernstia pyrum
Ernstia sanctipauli
Ernstia solaris
Ascandra contorta
Ascandra minchini
Ascandra loculosa
Ascandra biscayae
Ascandra izuensis
Ascandra ascandroides
Ascandra atlantica
Ascandra densa
Ascandra sertularia
Ascandra crewsi
Ascandra kakaban
Ascandra spalatensis
Ascandra corallicola
Ascandra falcata
Clathrina osculum
Clathrina dictyoides
Clathrina cribrata
Clathrina passionensis
Clathrina laminoclathrata
Clathrina sinusarabica
Clathrina cancellata
Clathrina ceylonensis
Clathrina primordialis
Clathrina procumbens
Clathrina parva
Clathrina broendstedi
Clathrina hondurensis
Clathrina clara
Clathrina mutsu
Clathrina angraensis
Clathrina compacta
Clathrina multiformis
Clathrina rotunda
Clathrina chrysea
Clathrina sceptrum
Clathrina jorunnae
Clathrina rubra
Clathrina heronensis
Clathrina blanca
Clathrina stipitata
Clathrina flexilis
Clathrina loculosa
Clathrina peruana
Clathrina aphrodita
Clathrina brandtae
Clathrina nuroensis
Clathrina sororcula
Clathrina beckingae
Clathrina purpurea
Clathrina tendali
Clathrina delicata
Clathrina helveola
Clathrina insularis
Clathrina lutea
Clathrina maremeccae
Clathrina mutabilis
Clathrina rodriguesensis
Clathrina rotundata
Clathrina rowi
Clathrina curacaoensis
Clathrina globulosa
Clathrina repens
Clathrina smaragda
Clathrina zelinhae
Clathrina wistariensis
Clathrina cylindractina
Clathrina conifera
Clathrina coriacea
Clathrina fjordica
Guancha arabica
Guancha arnesenae
Guancha loculosa
Guancha pulcherrima
Guancha gracilis
Guancha macleayi
Guancha pellucida
Guancha philippina
Guancha pedunculata
Guancha camura
Clathrina luteoculcitella
Clathrina clathrus
Clathrina aurea
Clathrina antofagastensis
Clathrina lacunosa
Clathrina ramosa
Clathrina hispanica
Petrobiona massiliana
Petrostoma schulzei
Minchinella lamellosa
Minchinella kirkpatricki
Monoplectroninia hispida
Tulearinia stylifera
Plectroninia neocaledoniense
Plectroninia deansi
Plectroninia novaecaledoniense
Plectroninia celtica
Plectroninia microstyla
Plectroninia tecta
Plectroninia lepidophora
Plectroninia norvegica
Plectroninia tetractinosa
Plectroninia pulchella
Plectroninia minima
Plectroninia vasseuri
Plectroninia radiata
Plectroninia hindei
Lepidoleucon inflatum
Trichogypsia villosa
Trichogypsia incrustans
Trichogypsia alaskensis
Kuarrhaphis cretacea
Leucyssa spongilla
Leucyssa villosa
Lamontia zona
Leucopsila stylifera
Eilhardia schulzei
Leuconia nivea
Leuconia alaskensis
Leuconia dura
Leuconia jgossei
Leuconia ochotensis
Leuconia usa
Leuconia joubini
Leuconia johnstoni
Leuconia kaiana
Leuconia sessilis
Leuconia urbani
Sycon raphanus
Sycon ciliatum
Sycon lingua
Sycon coactum
Sycon calcaravis
Sycon ramsayi
Sycon proboscideum
Sycon ensiferum
Sycon tabulatum
Sycon digitiforme
Sycon boreale
Sycon stauriferum
Sycon frustulosum
Sycon barbadense
Sycon album
Sycon caminatum
Sycon globulatum
Sycon luteolum
Sycon schuffneri
Sycon compactum
Sycon pulchrum
Sycon arcticum
Sycon giganteum
Sycon ampulla
Sycon lambei
Sycon minutum
Sycon parvulum
Sycon satsumense
Sycon antarcticum
Sycon natalense
Sycon acanthoxea
Sycon helleri
Sycon urugamii
Sycon gelatinosum
Sycon escanabense
Sycon pedicellatum
Sycon incrustans
Sycon protectum
Sycon grantioides
Sycon huinayense
Sycon scaldiense
Sycon rotundum
Sycon defendens
Sycon karajakense
Sycon simushirense
Sycon plumosum
Sycon abyssale
Sycon eglintonense
Sycon cylindricum
Sycon escanabensis
Sycon mexico
Sycon dunstervillia
Sycon villosum
Sycon vigilans
Sycon setosum
Sycon inconspicuum
Sycon faulkneri
Sycon munitum
Sycon subhispidum
Sycon tuba
Sycon okadai
Sycon schmidti
Sycon lendenfeldi
Sycon quadrangulatum
Sycon verum
Sycon hozawai
Sycon sycandra
Sycon humboldti
Sycon matsushimense
Sycon brasiliense
Sycon elegans
Sycon lunulatum
Sycon pentactinale
Sycon kerguelense
Sycon australe
Sycon formosum
Sycon misakiense
Sycon mundulum
Sycon asperum
Sycon ornatum
Sycon yatsui
Sycon ancora
Sycon quadrangulum
Leucosolenida environmental
Sycon spinispiculum
Sycon avus
Sycon bellum
Sycon conulosum
Sycon jenkinsi
Sycon magnapicale
Sarsinella karasikensis
Achramorpha glacilis
Achramorpha truncata
Achramorpha grandinis
Achramorpha diomediae
Achramorpha glacialis
Achramorpha nivalis
Achramorpha antarctica
Achramorpha ingolfi
Megapogon pollicaris
Megapogon crucifer
Megapogon crispatus
Megapogon raripilus
Megapogon villosus
Megapogon raripilis
Megapogon schiaparellii
Leucandrilla wasinensis
Leucandrilla lanceolata
Leucandrilla intermedia
Leucandrilla quadriradiata
Sycute dendyi
Leucettaga loculifera
Sycodorus hystrix
Sycandra polymorpha
Sycandra tuba
Sycandra alopecurus
Sycandra gelatinosa
Sycandra humboldti
Sycandra utriculus
Sycandra foliacea
Sycandra clavata
Sycandra monothalama
Sycandra tessellata
Sycandra tubulosa
Sycandra formosa
Sycandra angulata
Sycandra impletum
Sycandra polydora
Sycandra quadrangulata
Sycandra hystrix
Sycandra monodora
Sycandra petiolata
Sycandra dunstervillea
Sycandra corcyrensis
Sycandra polythalama
Sycandra setosa
Sycandra ensata
Sycandra lanceolata
Sycandra clavigera
Sycandra ovata
Sycandra rhopalodes
Sycandra egedii
Sycandra procumbens
Sycandra virgultos
Sycandra tenella
Sycandra asperum
Teichenopsis labyrinthica
Grantia waguensis
Amphiute paulini
Amphiute lepadiformis
Sycetta conifera
Sycetta antarctica
Sycetta sagittifera
Sycetta asconoides
Sycetta quadriradiata
Sycetta sagitta
Sycetta perforata
Sycetta vinitincta
Dermatreton hodgsoni
Dermatreton scotti
Sycantha tenella
Sycantha longstaffi
Paraheteropia ijimai
Grantilla quadriradiata
Heteropia glomerosa
Heteropia rodgeri
Heteropia medioarticulata
Heteropia striata
Heteropia ramosa
Heteropia minor
Grantia compressa
Grantia kempfi
Grantia atlantica
Grantia fistulata
Grantia arctica
Grantia stylata
Grantia mirabilis
Grantia phillipsi
Grantia primitiva
Grantia ramulosa
Grantia mexico
Grantia uchidai
Grantia harai
Grantia socialis
Grantia comoxensis
Grantia hirsuta
Grantia cupula
Grantia monstruosa
Grantia beringiana
Grantia vosmaeri
Grantia scottia
Grantia extusarticulata
Grantia tenuis
Grantia foliacea
Grantia kujiensis
Grantia nipponica
Grantia invenusta
Grantia infrequens
Grantia tuberosa
Grantia strobilus
Grantia aculeata
Grantia transgrediens
Grantia glabra
Grantia canadensis
Grantia capillosa
